ID,SECTION,TYPE,DESCRIPTION,QUANTITY,OWNED
CC1,SECTION 3,SPECIAL,LAMINE YAMAL,0,0
CC2,SECTION 3,SPECIAL,JOSHUE KIMMICH,0,0
CC3,SECTION 3,SPECIAL,HARRY KANE,0,0
CC4,SECTION 3,SPECIAL,SANTIAGO GIMENEZ,0,0
CC5,SECTION 3,SPECIAL,JOSKO GVARDIOL,0,0
CC6,SECTION 3,SPECIAL,FEDERICO VALVERDE,0,0
CC7,SECTION 3,SPECIAL,JEFFERSON LERMA,0,0
CC8,SECTION 3,SPECIAL,ENNER VALENCIA,0,0
CC9,SECTION 3,SPECIAL,GABRIEL MAGALHAES,0,0
CC10,SECTION 3,SPECIAL,VIRGIL VAN DIJK,0,0
CC11,SECTION 3,SPECIAL,ALPHONSO DAVIES,0,0
CC12,SECTION 3,SPECIAL,EMILIANO MARTINEZ,0,0
CC13,SECTION 3,SPECIAL,RAUL JIMENEZ,0,0
CC14,SECTION 3,SPECIAL,LAUTARO MARTINEZ,0,0
